site;sample;month;species;volume
NASTA_2022;5;8;0;2000
NASTA_2022;6;8;0;2000
PLLM_2020;1;8;0;130
PLLM_2020;2;8;0;130
PLLM_2020;3;8;0;130
PLLM_2020;4;8;0;130
PLLM_2020;5;8;0;130
PLLM_2020;6;8;0;130
TASIU_2020;1;8;0;130
TASIU_2020;2;8;0;130
TASIU_2020;3;8;0;130
WIYA_2020;1;8;0;130
WIYA_2020;2;8;0;130
WIYA_2020;3;8;0;130
WIYA_2020;4;8;0;130
WIYA_2020;5;8;0;130
WIYA_2020;6;8;0;130
WIYA_2021;1;8;0;50
WIYA_2021;2;8;0;50
WIYA_2021;3;8;0;50
WIYA_2021;4;8;0;50
WIYA_2021;5;8;0;50
WIYA_2021;6;8;0;50
WIYA_2021;7;8;0;50
WIYA_2021;8;8;0;50
WIYA_2021;9;8;0;50
BIENVILLE_2023;1;5;0;2000
BIENVILLE_2023;2;5;0;2000
BIENVILLE_2023;3;5;0;2000
BIENVILLE_2023;4;5;0;2000
BIENVILLE_2023;5;5;0;2000
BIENVILLE_2023;6;5;0;2000
BIENVILLE_2023;7;5;0;2000
BIENVILLE_2023;8;5;0;2000
BIENVILLE_2023;9;5;0;2000
BIENVILLE_2023;10;5;0;2000
BIENVILLE_2023;11;5;0;2000
BIENVILLE_2023;12;5;0;2000
BIENVILLE_2023;13;5;0;2000
BIENVILLE_2023;14;5;0;2000
BIENVILLE_2023;15;5;0;2000
BIENVILLE_2023;16;5;0;2000
BIENVILLE_2023;17;5;0;2000
BIENVILLE_2023;18;5;0;2000
BIENVILLE_2023;19;5;0;2000
BIENVILLE_2023;20;5;0;2000
BIENVILLE_2023;21;5;0;2000
BIENVILLE_2023;22;5;0;2000
BIENVILLE_2023;23;5;0;2000
BIENVILLE_2023;24;5;0;2000
BIENVILLE_2023;25;5;0;2000
BIENVILLE_2023;26;5;0;2000
BIENVILLE_2023;27;5;0;2000
BIENVILLE_2023;28;5;0;2000
BIENVILLE_2023;29;5;0;2000
BIENVILLE_2023;30;5;0;2000
BIENVILLE_2023;31;5;0;2000
BIENVILLE_2023;32;5;0;2000
BIENVILLE_2023;33;5;0;2000
LLM_2023;1;5;0;2000
LLM_2023;2;5;0;2000
LLM_2023;3;5;0;2000
LLM_2023;4;5;0;2000
LLM_2023;5;5;0;2000
LLM_2023;6;5;0;2000
LLM_2023;7;5;0;2000
LLM_2023;8;5;0;2000
LLM_2023;9;5;0;2000
LLM_2023;10;5;0;2000
LLM_2023;11;5;0;2000
LLM_2023;12;5;0;2000
NASTA_2023;1;5;1;2000
NASTA_2023;2;5;1;2000
NASTA_2023;3;5;1;2000
NASTA_2023;4;5;0;2000
NASTA_2023;5;5;0;2000
NASTA_2023;6;5;0;2000
NASTA_2023;7;5;0;2000
NASTA_2023;8;5;0;2000
NASTA_2023;9;5;0;2000
PLLM_2023;1;5;0;2000
PLLM_2023;2;5;0;2000
PLLM_2023;3;5;0;2000
PLLM_2023;4;5;0;2000
PLLM_2023;5;5;0;2000
PLLM_2023;6;5;0;2000
PLLM_2023;7;5;0;2000
PLLM_2023;8;5;0;2000
PLLM_2023;9;5;0;2000
PLLM_2023;10;5;0;2000
PLLM_2023;11;5;0;2000
PLLM_2023;12;5;0;2000
PLLM_2023;13;5;0;2000
PLLM_2023;14;5;0;2000
PLLM_2023;15;5;0;2000
PLLM_2023;16;5;0;2000
PLLM_2023;17;5;0;2000
PLLM_2023;18;5;0;2000
BOURDEL_2023;1;5;0;2000
BOURDEL_2023;2;5;0;2000
BOURDEL_2023;3;5;0;2000
